site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
A,7,6,all,1,0,CO,7_2,RB,46.3,56.3,1.94,N,0.388298137,1,1
A,7,6,all,1,0,CO,7_2,RB,41.3,7.8,1.05,Y,0.272401298,1,1
A,7,6,all,1,0,CO,7_2,RB,33.4,27.4,0.72,Y,-0.038010033,1,1
A,7,6,all,1,0,CO,7_2,RB,47,36.5,1.79,Y,0.449392004,1,1
A,7,6,dominant,2,0.09,CO,7_4,RB,44.3,20.2,0.99,N,-0.030668583,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,39,26.7,0.93,N,0.007662843,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,44.3,29.5,1,N,-0.139817342,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,42.5,30.2,1.21,N,0.122892471,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,42.5,30.8,1.04,N,-0.054794546,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,36.9,32.6,0.85,N,-0.07596849,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,45.9,33.6,1.25,N,0.002829824,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,31.9,35.4,1.13,N,0.339486539,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,39,37.1,1.27,N,0.21442122,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,41.6,39.9,1,N,-0.180541967,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,45.5,41.2,1.26,N,-0.070832833,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,41.5,41.8,1.09,N,-0.111457631,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,43.4,10.7,1.08,Y,0.193289719,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,27.5,16.7,0.41,Y,-0.008758129,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,42.4,29.7,1.03,Y,-0.065866922,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,39.3,30.9,0.89,Y,-0.115017736,2,1
A,7,6,dominant,2,0.09,CO,7_4,RB,46.5,37.3,1.29,Y,-0.043724574,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,34.8,33.5,0.59,N,-0.27554135,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,42.5,38.9,1.02,N,-0.178569271,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,36.8,39.3,0.95,N,-0.058380288,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,36.6,41.2,0.8,N,-0.225869396,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,44.2,41.5,1.12,N,-0.17013112,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,39.1,44.3,1.04,N,-0.111249536,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,40.7,44.5,1.11,N,-0.098636762,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,43.3,45.7,1.26,N,-0.053101238,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,44.4,48.8,1.29,N,-0.100509601,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,45.6,49.4,1.39,N,-0.049315283,2,1
A,7,6,dominant,2,0.09,CO,7_7,RB,29.1,16.6,0.37,Y,-0.102301847,2,1
A,7,6,even,3,0.41,CO,7_3,RB,33.4,25.4,0.65,N,-0.063794848,3,1
A,7,6,even,3,0.41,CO,7_3,RB,45.3,31.5,1.27,N,0.070293715,3,1
A,7,6,even,3,0.41,CO,7_3,RB,35.6,32.4,0.69,N,-0.18886093,3,1
A,7,6,even,3,0.41,CO,7_3,RB,41.9,34.7,1.07,N,-0.054200822,3,1
A,7,6,even,3,0.41,CO,7_3,RB,39.6,35,1.16,N,0.110766446,3,1
A,7,6,even,3,0.41,CO,7_3,RB,44.3,39.1,1.33,N,0.067190391,3,1
A,7,6,even,3,0.41,CO,7_3,RB,41.2,40.6,1.23,N,0.054196069,3,1
A,7,6,even,3,0.41,CO,7_3,RB,46.5,40.8,1.36,N,2.63E-05,3,1
A,7,6,even,3,0.41,CO,7_3,RB,39.1,41.4,1.24,N,0.125904378,3,1
A,7,6,even,3,0.41,CO,7_3,RB,40.8,41.9,1.01,N,-0.168752912,3,1
A,7,6,even,3,0.41,CO,7_3,RB,42.4,45.9,1.3,N,0.015175423,3,1
A,7,6,even,3,0.41,CO,7_3,RB,44.3,46.9,1.35,N,-0.012740826,3,1
A,7,6,even,3,0.41,CO,7_3,RB,39.8,48.6,1.51,N,0.279674289,3,1
A,7,6,even,3,0.41,CO,7_3,RB,46.1,51.7,1.43,N,-0.055914958,3,1
A,7,6,even,3,0.41,CO,7_3,RB,31.9,7.3,0.45,Y,0.000903359,3,1
A,7,6,even,3,0.41,CO,7_3,RB,41.5,7.3,0.88,Y,0.101954034,3,1
A,7,6,even,3,0.41,CO,7_3,RB,42.8,17.5,1.09,Y,0.136729529,3,1
A,7,6,even,3,0.41,CO,7_3,RB,43.8,18.3,0.99,Y,-0.007785381,3,1
A,7,6,even,3,0.41,CO,7_3,RB,42.4,30.1,1.25,Y,0.1490084,3,1
A,7,6,even,3,0.41,CO,7_3,RB,47.9,42.6,1.36,Y,-0.089598332,3,1
A,7,6,rare,4,0.97,CO,7_1,RB,40.4,38.7,1.05,N,-0.074049268,4,1
C,8,7,all,9,0,CO,8_3,RB,37.8,37.6,0.81,N,-0.210865962,1,3
C,8,7,all,9,0,CO,8_3,RB,42.8,41.6,0.98,N,-0.263440513,1,3
C,8,7,all,9,0,CO,8_3,RB,46.1,46.9,1.47,N,0.045581176,1,3
C,8,7,all,9,0,CO,8_3,RB,46.6,49.1,1.62,N,0.150262671,1,3
C,8,7,all,9,0,CO,8_3,RB,39.9,49.3,1.42,N,0.177279548,1,3
C,8,7,all,9,0,CO,8_3,RB,44.8,24.1,1.14,Y,0.033641236,1,3
C,8,7,all,9,0,CO,8_3,RB,42.6,38.8,1.21,Y,-0.009306453,1,3
C,8,7,dominant,10,0.055,CO,8_5,RB,42.3,38.9,1.33,N,0.138283839,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,40.8,40.1,1.08,N,-0.075691862,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,40.4,40.3,1.53,N,0.385452021,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,49,43.1,1.53,N,0.054895506,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,41.9,43.3,1.18,N,-0.054381394,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,43.1,44.1,0.96,N,-0.325749416,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,45,44.4,1.6,N,0.245302522,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,42.5,46,1.07,N,-0.219532302,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,36.4,15.9,0.9,Y,0.18652779,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,33,22.5,0.57,Y,-0.111526508,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,43.7,30.7,0.7,Y,-0.453223837,2,3
C,8,7,dominant,10,0.055,CO,8_5,RB,40,35.4,1.14,Y,0.053343751,2,3
C,8,7,even,11,0.285,CO,8_1,RB,30.29,28.7,0.62,N,-0.029507565,3,3
C,8,7,even,11,0.285,CO,8_1,RB,30.19,30.69,0.64,N,-0.031576282,3,3
C,8,7,even,11,0.285,CO,8_1,RB,33.6,35.4,0.64,N,-0.208764904,3,3
C,8,7,even,11,0.285,CO,8_1,RB,30.46,39,0.96,N,0.172706837,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.5,40.06,1.1,N,-0.044899728,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.55,40.36,1.36,N,0.209543486,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.19,40.57,1.35,N,0.20918863,3,3
C,8,7,even,11,0.285,CO,8_1,RB,30.87,40.65,0.97,N,0.147518664,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.2,40.73,1.23,N,0.086796103,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.77,44.9,1.27,N,0.053839971,3,3
